Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,0.1u,C1525
R1,2512,1,100m,C326592
"R2, R3",0603,2,4.7,C23164
"R4, R5, R6, R7, R8",0402,5,10k,C25744
U1,VSSOP-10_3x3mm_P0.5mm,1,INA226,C49851
