Designator,Mid X,Mid Y,Rotation,Layer
C1,19.05,4.445,180.0,top
C2,13.208,5.814,270.0,top
R1,6.35,5.715,180.0,top
R2,11.43,5.334,90.0,top
R3,1.27,5.334,90.0,top
R4,12.827,8.382,180.0,top
R5,12.827,9.652,180.0,top
R6,19.05,6.731,180.0,top
R7,19.05,5.588,180.0,top
R8,19.05,7.874,180.0,top
U1,15.875,7.28,0.0,top
